NPGO index,Date
0.4158185,198407
0.17832952,198507
-0.94142243,198607
0.42619958,198707
1.7248738,198807
1.2640097,198907
-0.25829866,199007
-0.4794923,199107
-1.4624325,199207
-1.6785552,199307
-0.71112965,199407
-1.4994407,199507
-0.88413569,199607
-0.77236159,199707
0.39316174,199807
1.3811213,199907
1.655785,200007
1.5004872,200107
1.3822965,200207
1.2024408,200307
0.41156805,200407
-1.6634296,200507
-0.49903284,200607
1.2293291,200707
1.4275373,200807
0.55998986,200907
1.1456281,201007
1.0354089,201107
1.8605661,201207
0.45082111,201307
-0.13326054,201407
-1.4735073,201507
-0.48643932,201607
-0.44498774,201707
-1.5719998,201807
-2.2770138,201907
-0.54938418,195008
-1.1748547,195108
-0.89742819,195208
0.6189014,195308
-0.13153747,195408
0.2745267,195508
0.53975909,195608
-0.90544124,195708
-0.6288164,195808
-0.50436494,195908
0.43794466,196008
1.0746483,196108
-0.37063506,196208
-0.1346054,196308
0.78188421,196408
-0.44396173,196508
-0.97791948,196608
-0.75379956,196708
-0.95952812,196808
-0.23232563,196908
0.41332336,197008
0.70605099,197108
-0.42736154,197208
0.16718172,197308
0.26162988,197408
1.0259992,197508
2.4363637,197608
1.2847436,197708
0.86398498,197808
-1.2509887,197908
-1.0831368,198008
-0.69772961,198108
-0.45697363,198208
-0.010007802,198308
0.36820697,198408
-0.23258976,198508
-1.0182601,198608
0.3395003,198708
1.3928516,198808
0.66697628,198908
-0.33040579,199008
-0.57405316,199108
-1.2474734,199208
-1.5143229,199308
-0.85876787,199408
-1.0060149,199508
-0.74825013,199608
-0.7858272,199708
0.27265688,199808
1.4334654,199908
1.3516272,200008
1.9150242,200108
0.81184355,200208
0.78228794,200308
0.68538324,200408
-1.1301204,200508
-0.36663439,200608
1.4400573,200708
2.1438271,200808
0.71776492,200908
1.0779035,201008
1.036257,201108
1.7305455,201208
0.56139213,201308
-0.54494684,201408
-1.9276433,201508
-0.54363312,201608
-0.53107789,201708
-2.1246452,201808
-0.60154498,195009
-1.4195152,195109
-0.58261822,195209
0.29073101,195309
-0.26280328,195409
-0.11022702,195509
0.30064613,195609
-0.9222347,195709
-0.20443409,195809
0.072659201,195909
0.52397594,196009
0.77296683,196109
0.33421582,196209
0.11978808,196309
0.91256373,196409
-0.85712342,196509
-0.75325036,196609
-0.051677917,196709
-0.91457811,196809
0.015210575,196909
0.39857819,197009
0.52842538,197109
-0.92539715,197209
0.3572996,197309
-0.16775789,197409
0.57322177,197509
2.4321414,197609
0.76644075,197709
1.2864755,197809
-0.78481409,197909
-0.69690748,198009
0.0029769,198109
-0.45956735,198209
-0.40973575,198309
0.82303277,198409
-0.93626777,198509
-0.768198,198609
0.17022806,198709
1.31624,198809
0.65426137,198909
-0.15925639,199009
-0.94857557,199109
-0.94662956,199209
-2.0474347,199309
-1.1048639,199409
-0.89392105,199509
-0.93392844,199609
-0.48147621,199709
0.044480388,199809
1.3049656,199909
1.3801795,200009
1.8929954,200109
0.82441109,200209
0.8692253,200309
0.37640228,200409
-1.5725517,200509
-0.33957171,200609
0.90904047,200709
2.2271197,200809
0.98445633,200909
1.0036749,201009
1.3281108,201109
1.3583948,201209
0.38985903,201309
-0.77647484,201409
-2.10385,201509
-0.77327726,201609
-0.5257936,201709
-2.3284792,201809
0.11943427,195010
-1.0693902,195110
-0.25781197,195210
1.0815173,195310
0.18381241,195410
-0.52419361,195510
-0.051508982,195610
-1.0286289,195710
-0.50880797,195810
0.13413238,195910
0.48853548,196010
0.34873726,196110
0.16424001,196210
0.50714133,196310
0.71267229,196410
-0.68304581,196510
-0.79952865,196610
0.007117774,196710
-0.73758116,196810
0.28993968,196910
0.22630739,197010
0.3306484,197110
-1.0954562,197210
0.35027916,197310
0.007498616,197410
0.95649585,197510
1.6933671,197610
1.2530538,197710
0.35159373,197810
-0.6129027,197910
-0.066023382,198010
-0.28779399,198110
-1.0067379,198210
-0.48714715,198310
0.94333701,198410
-1.1832549,198510
-0.2937993,198610
0.12124511,198710
1.4868884,198810
0.44178705,198910
-0.12022116,199010
-1.0900901,199110
-0.96898904,199210
-2.3542966,199310
-1.1107256,199410
-0.51771379,199510
-1.0410775,199610
-0.59425899,199710
0.098751134,199810
1.1788208,199910
1.6981881,200010
1.1619115,200110
0.82363712,200210
1.286991,200310
0.042904182,200410
-0.88912168,200510
-1.0490722,200610
1.268781,200710
1.7656263,200810
1.1541453,200910
1.6059417,201010
1.2045161,201110
1.8664464,201210
-0.14750892,201310
0.42525704,201410
-1.3062118,201510
0.3527754,201610
-1.4104447,201710
-2.3381128,201810
-0.25707438,195011
-1.0120413,195111
-0.31621332,195211
2.0496203,195311
0.35474005,195411
-0.080028769,195511
-0.22625107,195611
-1.407435,195711
-0.77451839,195811
-0.04796909,195911
0.95336825,196011
0.22058507,196111
0.44560527,196211
0.66107473,196311
0.074383372,196411
-0.91841417,196511
-0.93839698,196611
-0.58751481,196711
-0.22530564,196811
-0.04127024,196911
-0.21421458,197011
0.18247128,197111
-0.55620606,197211
-0.11299269,197311
0.04270522,197411
1.273857,197511
1.5746724,197611
1.4486669,197711
-0.25888401,197811
-0.49207198,197911
-0.13450486,198011
0.75622012,198111
-0.86607015,198211
0.56100833,198311
0.86247744,198411
-1.793918,198511
-0.50124606,198611
0.52151727,198711
1.2427056,198811
-0.30061121,198911
-0.73895202,199011
-0.17231725,199111
-1.2806748,199211
-2.9986692,199311
-1.6884391,199411
-0.2774263,199511
-1.1001672,199611
0.17402893,199711
0.71735091,199811
1.3205504,199911
2.0145948,200011
1.7645249,200111
1.6592152,200211
-0.11436786,200311
-0.44177726,200411
-1.6606414,200511
-0.99593322,200611
0.72848516,200711
1.9696127,200811
1.0548407,200911
0.98803369,201011
0.37417793,201111
1.401837,201211
-0.80505602,201311
0.31181371,201411
-2.2533168,201511
1.1604373,201611
-2.0575759,201711
-1.7539675,201811
-0.49336649,195012
-1.2247459,195112
0.84508038,195212
1.418955,195312
0.40412547,195412
-0.5180143,195512
-0.76721175,195612
-0.71664127,195712
-0.40523129,195812
0.42278478,195912
1.1361285,196012
0.39737078,196112
0.46514247,196212
0.54103299,196312
-0.67944342,196412
-1.1935027,196512
-0.54499555,196612
-0.23339957,196712
-0.86887064,196812
1.1272413,196912
-0.071520774,197012
-0.027959273,197112
-0.76224231,197212
0.33929289,197312
0.71586735,197412
1.0790459,197512
1.3296016,197612
0.85400226,197712
-1.1153547,197812
-0.54143459,197912
-0.28269689,198012
0.52121581,198112
-0.2344606,198212
-0.6778232,198312
0.25228999,198412
-1.6806901,198512
-0.45618453,198612
0.69232265,198712
0.75529687,198812
-0.17257603,198912
-1.532809,199012
-0.21297704,199112
-1.8686891,199212
-2.0005526,199312
-1.0167549,199412
0.21576192,199512
-1.3549181,199612
0.26068165,199712
0.76883039,199812
1.0528054,199912
2.164995,200012
2.0194831,200112
2.6365472,200212
0.22437689,200312
-0.98521195,200412
-1.2525514,200512
-0.15556898,200612
0.4576465,200712
0.44878735,200812
1.063178,200912
0.77962672,201012
0.13153608,201112
1.2003042,201212
-1.452561,201312
-0.35483813,201412
-1.1054027,201512
-1.540838,201612
-2.6851348,201712
-1.0830255,201812
